cpu_usage,used_memory
0.008194,278659072
0.012274,277893120
0.008159,278147072
0.008143,278274048
0.012209,278654976
0.012215,278781952
0.01224,278781952
0.008143,277966848
0.008182,277966848
0.012313,277966848
0.008214,278093824
0.00821,278093824
0.008203,278093824
0.008204,278220800
0.008204,278220800
0.004103,278220800
0.012315,277307392
0.012305,277307392
0.012332,277434368
0.016449,278450176
0.016423,279339008
0.016391,279339008
0.012243,279212032
0.012235,278384640
0.012197,278511616
0.00813,278511616
0.008124,278511616
0.0122,278638592
0.008168,278892544
0.008162,278892544
0.004092,278892544
0.0041,279019520
0.004096,279019520
0.004103,279146496
0.004103,279146496
0.008217,279146496
0.00821,278384640
0.012282,278765568
0.012309,278892544
0.008201,278278144
0.00818,278405120
0.004087,278405120
0.008162,278405120
0.004093,278405120
0.008172,278405120
0.008174,278532096
0.008172,278659072
0.01228,279040000
0.008182,277630976
0.008152,277630976
0.008153,277630976
0.01222,277630976
0.012247,277676032
0.008154,278564864
0.00816,277815296
0.012262,278347776
0.008152,278347776
0.004077,278347776
0.004071,278728704
0.004068,278728704
0.008139,278728704
0.008139,278728704
0.008155,278728704
0.012254,278011904
0.012274,278011904
0.012268,278138880
0.008169,278138880
0.008177,278138880
0.008185,278138880
0.00816,278138880
0.008157,278392832
0.00817,278519808
0.008187,278519808
0.008172,278519808
0.008182,278646784
0.012308,278646784
0.008197,278646784
0.008181,278646784
0.012245,278646784
0.012244,278646784
0.012232,278646784
0.008157,278646784
0.01224,278773760
0.012254,278773760
0.008192,278773760
0.012286,278773760
0.008186,278900736
0.008181,279027712
0.00818,279027712
0.004097,279027712
0.008199,279027712
0.008197,279027712
0.008216,279027712
0.008228,279027712
0.008219,279027712
0.012303,279027712
0.008202,279027712
0.00821,279027712
0.008211,279027712
0.008208,278298624
0.01645,280125440
0.012308,278827008
0.016408,282517504
0.01641,282517504
0.016379,282898432
0.016397,282595328
0.020488,282845184
0.012328,282845184
0.012312,282972160
0.012286,283099136
0.012274,283099136
0.00817,282464256
0.008151,282845184
0.00815,282845184
0.004065,284332032
0.008141,284332032
0.008144,284332032
0.008142,284332032
0.004078,283860992
0.008158,283983872
0.008176,283983872
0.008149,283983872
0.008154,283983872
0.008148,283983872
0.008138,283983872
0.008136,283983872
0.008135,283983872
0.01629,283762688
0.012267,282976256
